"SYMBOL","ENTREZID"
"TMCC1","23023"
"RGL1","23179"
"TPGS2","25941"
"GJC2","57165"
"EPX","8288"
"ADCY8","114"
"RPE65","6121"
"CIPC","85457"
"GTPBP4","23560"
"DCXR","51181"
"DNAAF3","352909"
"PPP1R3D","5509"
"MAP7D2","256714"
"CDK6","1021"
"ELAPOR1","57535"
"TBCEL","219899"
"C6orf58","352999"
"C17orf113","110806298"
"UBA52","7311"
"ZFP64","55734"
"MRPL27","51264"
"NECTIN2","5819"
"PATZ1","23598"
"CISD3","284106"
"POGLUT1","56983"
"ZNF615","284370"
"TMT1A","25840"
"RPS27A","6233"
"CCN1","3491"
"FKBP7","51661"
"NAMPT","10135"
"CTPS1","1503"
"USH1C","10083"
"FBXW4","6468"
"CAPN11","11131"
"ST3GAL5","8869"
"RAB22A","57403"
"FGD3","89846"
"COPS8","10920"
"SUOX","6821"
"ZNF574","64763"
"DHX33","56919"
"CCDC9B","388115"
"ZFP36","7538"
"NDUFAF6","137682"
"CCDC22","28952"
"CLIC6","54102"
"MSANTD3","91283"
"SMIM1","388588"
"VAMP7","6845"
"LINGO1","84894"
"ABHD11","83451"
"NR2C2","7182"
"CBFA2T3","863"
"CNTLN","54875"
"GRIK4","2900"
"JAG2","3714"
"CYYR1","116159"
"PRXL2B","127281"
"ABRAXAS1","84142"
"LRBA","987"
"WNT2B","7482"
"RIMKLA","284716"
"MRPS24","64951"
"RSAD1","55316"
"EFCAB11","90141"
"MAL2","114569"
"PRR5","55615"
"GABPA","2551"
"RBM7","10179"
"LYL1","4066"
"ASB1","51665"
"EYA1","2138"
"SRGAP3","9901"
"PSMD3","5709"
"MT1G","4495"
"RSU1","6251"
"LRRK2","120892"
"QSER1","79832"
"PPP4R4","57718"
"COL21A1","81578"
"ARRB1","408"
"CEP170","9859"
"FOXC2","2303"
"HLA-DQB1","3119"
"LIMK2","3985"
"MT-ND5","4540"
"DNASE2B","58511"
"DNAL4","10126"
"VPS37B","79720"
"CCDC18","343099"
"ISCA2","122961"
"THRA","7067"
"RANBP6","26953"
"ZNF649","65251"
"MLPH","79083"
"MAPK3","5595"
"SLC1A5","6510"
"CLSTN2","64084"
"F11R","50848"
"NTF4","4909"
"SUSD6","9766"
"NEMP2","100131211"
"SLC10A5","347051"
"NAAA","27163"
"SMOC2","64094"
"BANK1","55024"
"TP53INP1","94241"
"CDK5R2","8941"
"ADAMTS3","9508"
"MYORG","57462"
"PDE1C","5137"
"FMNL2","114793"
"SULT4A1","25830"
"ZG16B","124220"
"SYTL2","54843"
"GJC1","10052"
"DNASE1","1773"
"SULT1A1","6817"
"GMEB2","26205"
"GSDMA","284110"
"RPH3AL","9501"
"DCST2","127579"
"EEF1A1","1915"
"CUL4B","8450"
"ANKRD26","22852"
"NCAM2","4685"
"ADGRV1","84059"
"ETNK2","55224"
"ARSK","153642"
"FAM210B","116151"
"EFNA3","1944"
"LRRC45","201255"
"CALR","811"
"CDCP1","64866"
"ICOSLG","23308"
"TMEM45B","120224"
"TTC39A","22996"
"KRT37","8688"
"RNF112","7732"
"PLK5","126520"
"MAP2","4133"
"RABEP2","79874"
"CEP164","22897"
"TPST1","8460"
"EHMT1","79813"
"KIF18B","146909"
"KRT32","3882"
"DAW1","164781"
"SUMF2","25870"
"IL15","3600"
"UGT3A2","167127"
"CDS1","1040"
"SLC48A1","55652"
"MED24","9862"
"FSCN1","6624"
"RPL36A","6173"
"MYMX","101929726"
"RDH16","8608"
"SCYL3","57147"
"SPTLC2","9517"
"RNF43","54894"
"SLC16A4","9122"
"WDR12","55759"
"SDC1","6382"
"EBNA1BP2","10969"
"SLC18B1","116843"
"TMSB4X","7114"
"ALKBH8","91801"
"PPM1L","151742"
"GATM","2628"
"SLC25A29","123096"
"TMEM134","80194"
"LARS1","51520"
"DVL3","1857"
"RPL26L1","51121"
"ISL2","64843"
"THBS1","7057"
"NAP1L3","4675"
"ABHD5","51099"
"TMEM200A","114801"
"SLC1A4","6509"
"ARL4A","10124"
"NEK7","140609"
"RPL22L1","200916"
"NABP1","64859"
"IGSF5","150084"
"AMTN","401138"
"SLC6A17","388662"
"SMIM31","100505989"
"SHANK2","22941"
"ENO3","2027"
"GOLT1A","127845"
"TAF4B","6875"
"SGPL1","8879"
"BLVRA","644"
"KCNH1","3756"
"TP53I3","9540"
"COL8A2","1296"
"ROGDI","79641"
"RRH","10692"
"ANXA2","302"
"GNPAT","8443"
"NDUFS5","4725"
"PPFIBP2","8495"
"SLC34A3","142680"
"BCL7A","605"
"ACAN","176"
"GLA","2717"
"P2RY1","5028"
"GPR87","53836"
"SULF1","23213"
"FAM76B","143684"
"HECW2","57520"
"TSR2","90121"
"ZGPAT","84619"
"ARAF","369"
"GSE1","23199"
"CISD1","55847"
"RTF2","51507"
"TNRC6C","57690"
"GMEB1","10691"
"XIRP2","129446"
"FAF1","11124"
"KCNK3","3777"
"PTGER4","5734"
"TYW3","127253"
"CDC25B","994"
"STPG3","441476"
"SYTL5","94122"
"LSAMP","4045"
"ACSBG1","23205"
"CASS4","57091"
"C4BPB","725"
"GPR132","29933"
"KLHL4","56062"
"C1orf52","148423"
"TTYH1","57348"
"SUSD5","26032"
"HEATR1","55127"
"ARHGAP1","392"
"TCAF1","9747"
"GOPC","57120"
"GRPEL2","134266"
"GPR176","11245"
"ANKRD40","91369"
"CABCOCO1","219621"
"CHORDC1","26973"
"ENOX2","10495"
"OLFML2A","169611"
"KIAA1586","57691"
"DGCR2","9993"
"PRKAA1","5562"
"SUSD3","203328"
"FOXP4","116113"
"SEPTIN12","124404"
"CEP19","84984"
"ZDHHC3","51304"
"ASIC3","9311"
"SNX29","92017"
"ACTR2","10097"
"SPACA4","171169"
"CYB5R4","51167"
"YBX1","4904"
"WWTR1","25937"
"NXPH2","11249"
"CHMP4C","92421"
"RANGRF","29098"
"ZNF710","374655"
"MSRB1","51734"
"GABARAP","11337"
"TNNT2","7139"
"THOC2","57187"
"NAP1L1","4673"
"DHRS7B","25979"
"NPAT","4863"
"GNG5","2787"
"GTPBP8","29083"
"THOC5","8563"
"PRRT4","401399"
"ASCL4","121549"
"PNRC1","10957"
"ZYG11B","79699"
"TRIP12","9320"
"TUBB6","84617"
"KIF13B","23303"
"SRSF12","135295"
"BDH1","622"
"YPEL3","83719"
"CRACR2B","283229"
"SMIM12","113444"
"POU4F3","5459"
"PSIP1","11168"
"RAMAC","83640"
"NRAS","4893"
"SCAMP5","192683"
"PPP1R13B","23368"
"TMEM156","80008"
"CLTA","1211"
"ENPP5","59084"
"RPL11","6135"
"PACRGL","133015"
"FAM72B","653820"
"SMPD3","55512"
"DNAH11","8701"
"ICE1","23379"
"CTDNEP1","23399"
"TMEM205","374882"
"KRT18","3875"
"ITGA11","22801"
"SPATA20","64847"
"SAA1","6288"
"EFTUD2","9343"
"ZAN","7455"
"ADAP2","55803"
"PPIL6","285755"
"MRPS15","64960"
"CSRP2","1466"
"EXOSC3","51010"
"MTSS1","9788"
"MARCO","8685"
"ZZZ3","26009"
"IRAK3","11213"
"MICU3","286097"
"FOLR1","2348"
"TMEM74B","55321"
"ARFRP1","10139"
"SYCE3","644186"
"TMC8","147138"
"KDM4B","23030"
"GRN","2896"
"MEIOC","284071"
"WRAP53","55135"
"DEDD2","162989"
"SIPA1L3","23094"
"CPNE7","27132"
"HIF1AN","55662"
"DNAH6","1768"
"ZSCAN20","7579"
"RAB11FIP3","9727"
"APPBP2","10513"
"GEM","2669"
"ZNF512","84450"
"CHST2","9435"
"PEDS1","387521"
"DEPDC1","55635"
"SHISAL1","85352"
"FNTB","2342"
"PNCK","139728"
"PPP1R1A","5502"
"IGFBP4","3487"
"CIB3","117286"
"CHAC2","494143"
"ABHD1","84696"
"HERC4","26091"
"TOR4A","54863"
"CEACAM1","634"
"GEMIN5","25929"
"TENT5C","54855"
"EGFLAM","133584"
"NDUFC2","4718"
"BLNK","29760"
"BLOC1S3","388552"
"MAPKAPK5","8550"
"MYB","4602"
"GLI2","2736"
"STK17A","9263"
"MOK","5891"
"PDPK1","5170"
"NUDT4","11163"
"FLNA","2316"
"TRPS1","7227"
"RAB37","326624"
"CENPX","201254"
"SPATA13","221178"
"KRTAP5-9","3846"
"H1-10","8971"
"KCTD7","154881"
"ZNF280B","140883"
"NAT16","375607"
"EDN1","1906"
"PRR36","80164"
"SOBP","55084"
"MSI2","124540"
"KIRREL1","55243"
"JPT2","90861"
"CFAP61","26074"
"NEDD4","4734"
"ZNF438","220929"
"SYNE4","163183"
"ACADSB","36"
"PHF21B","112885"
"TEX19","400629"
"MUC4","4585"
"PIPOX","51268"
"LASP1","3927"
"RAB11FIP1","80223"
"PLEKHO1","51177"
"UBXN1","51035"
"CMSS1","84319"
"CCL5","6352"
"TRAFD1","10906"
"CKMT1A","548596"
"CAPN12","147968"
"IQCA1","79781"
"ELN","2006"
"RHOB","388"
"L3MBTL4","91133"
"CNGB3","54714"
"RTN1","6252"
"BMERB1","89927"
"PTOV1","53635"
"NRSN2","80023"
"RDH13","112724"
"NUP155","9631"
"EAPP","55837"
"PACSIN2","11252"
"KDM2A","22992"
"FZD9","8326"
"ATP5MC1","516"
"LRRC59","55379"
"CTTN","2017"
"BRD9","65980"
"CAMSAP3","57662"
"HOXB1","3211"
